docno	tokens
FT943-13149	ft 21 jul 94 survey albania 4 lift economic growth anthony robinson albania transformation closed economy absurd open economy frenetic consumerism within three years taken everybody surprise writes anthony robinson international monetary fund stranger economic turnarounds eulogises economic miracle gave albania estimated 11 per cent gdp growth last year sort dynamic usually seen asia albania old mentor china mr gramoz pashko one albania prominent academic economists deputy prime minister charge economic reform interim stability government 1991 puts events proportion observation even clod earth looks like mountain flat plain remark denial albania leap forward last two years reminder 1989 1992 liberalisation economy shift tight imf monitored monetary fiscal policies preceded unprecedently drastic elimination big loss making enterprises dramatic falls industrial output post communist countries undergone degree constructive destruction following collapse comecon trade shift market prices none matched albania purge industrial economy obsolete even built soviet chinese aid technology 1960s 1970s hoxha era industrial mining complexes formerly employed tens thousands workers like elbasan steel works tirana tractor factory spare parts engineering facilities well many coal chrome nickel mines worked decades prison labour closed economic reform begun transitional government fraught months march 1992 elections difficult decisions also taken democratic party led coalition government emerged elections perhaps toughest end 80 per cent unemployment pay given last communist government workers sent home factory closures closure loss making plants led cumulative 60 per cent decline industrial output three years end 1992 eliminated double drain exchequer provided sharp incentive workers seek sources income either agriculture self employment 300 000 albanians 10 per cent population took opportunity presented chaotic opening frontiers emigrate instead mainly italy greece germany exodus eased political costs transition although official unemployment 1993 still hovered around 30 per cent remaining non agricultural labour force emigration leading rapid boost remittances relatives still home became within months crucial element underpinning domestic economic recovery last two years remittances foreign aid albania principal sources income practically zero remittances rose dollars 150m 1992 doubled dollars 334m last year 10 per cent higher total inflow official foreign aid dropped dollars 303m last year peak dollars 374m 1992 italian run emergency food aid programme operation pellicano height without remittances albania would able finance large imports consumer goods second hand vehicles given country unprecedented air prosperity aid alone would insufficient finance last year dollars 509m trade deficit remittances raised disposable incomes demand food imported consumer goods turn stimulated rapid rise small scale trade investment projects principally cafes small food kiosks informal markets increasingly petrol stations latter busy servicing 40 000 mainly second hand cars thousands trucks vans imported past year many new vehicles dubious provenance thousands hooting cars roaming streets contrast sharply empty roads past meanwhile return land peasants country 65 per cent population still lives land villages led extraordinary growth food production higher rural incomes livestock eggs fruit grain traded increasing amounts higher domestic food output reduced need basic food imports cooking oil sugar provides basis future growth domestic food processing industry export early vegetables fruit way artificial economy inefficient industrial plants collectivised agriculture replaced within three years economy small farmers traders businessmen era constructive destruction propped emergency aid dynamic growth trade permitted rapid accumulation capital economy entering crucial second phase infrastructure industrial investment banking modernisation institution building largely aid financed investment programme getting way requires additional foreign equity investment redevelop dilapidated capital technology intensive oil mining sectors help develop tourism industry first foreign investments starting come stream new coca cola bottling plant road tirana airport partially financed ebrd also helping foreign financed construction infrastructure projects eye catching dollars 23m hotel business centre complex built smelt slovene building company rogner austrian hotel resort group new hotel dea rising prime site tirana main boulevard prime minister office exhibition centre originally built hold body enver hoxha early signs incipient boom construction leading rising investment local building materials meanwhile low wages around dollars 60 dollars 70 month starting attract italian greek shoe textile companies seeking asian level production costs combined lower transport costs maintain growth raise level economic development authorities know must also eliminate frustrations would foreign equity investors caused inexperienced sometimes corrupt administration clarify key legal issues including land ownership rights
FT943-13150	ft 21 jul 94 survey albania 6 rush western homes laura silber meets uk participant tirana building boom laura silber albania dilapidated buildings run blocks flats epitomise housing shortage expected get much worse people flock countryside towns next years housing shortage spells big business opportunity builders architects mr martin stent left london build western style houses tirana arrived new office windows doors phone took agreed redo architect adds modern office overlooking site fifteen months later happy man state commission awarded company licence build 1 200 traditional western style houses southwest tirana capital city little built since italians left 50 years ago expected double 240 000 population within decade mr stent admits misconceptions set right since set shop underestimated purchasing power potential demand western style housing first came thought would building flats dollars 10 000 piece turned 10 times says pointing picturesque building site nestling shores reservoir framed slopes mount dajti rise city cows sheep meander pastures unaware albania first joint venture private housing leave homeless also learnt building houses albania means thatmacrae international london based development company also put entire infrastructure sewerage power lines even though current agreement mr stent company land instead received power attorney sell lease behalf state agreed price mr stent team christened housing complex green valleys albania like england everyone likes live somewhere named village albanians want anything sounding rural says mainly urban dwellers recent immigrants countryside two thirds albania population remain countryside romantic ideas social habits albania history clans extended families also different used several families want live adjoining houses neighbouring flats envisioning common rooms generations come meanwhile changing times created booming market old system people free choose lived naturally gravitate tirana albanians want huge house whole family shared houses nine bedrooms says another characteristic current albanian market potential buyers 50 years economic privation hoxha dictatorship anxious pay advance afraid houses left buy year mr stent turns away building gets underway many albanians burned foreign bandits beginning everyone paid cash lost money says present new rich speed horns blaring tirana wide boulevards shiny new mercedes mr stent believes tastes change quickly tasted privacy want says adding many future buyers currently living one room flats families local construction officials realise mr stent offer badly needed product cope rising population incomes take get understand make money good says tirana officials whose mentality shaped old communist regime relieved project last officially underway mr stent frets lies ahead 101 things make plywood know different colours bricks used choice change macrae international part reason
FT943-13151	ft 21 jul 94 survey albania 2 navigator stormy balkans interview president sali berisha anthony robinson laura silber president sali berisha cardiologist led democratic party landslide victory march 1992 end isolation coupled price foreign exchange trade liberalisation abolition collective farms transformed albania prospects isolating albania greatest crime committed enver hoxha former dictator least communist countries less open borders trade diplomatic relations outside world albania virtually nothing hoxha european leader even sign helsinki final acts east west european security pact says decades brutal obscurantist regime albania hands younger generation determined integrate country european mainstream learn apply new ideas implement time says experience last two years made impassioned supporter fast track approach economic reform shock therapy bitter pill brilliant invention prepared sacrifice popularity pressing ahead reforms hardest decision july last year liberalise bread prices three days local elections lost votes since worry arrival grain shipments abroad granaries full says still poorest country europe gdp grew 10 per cent last year personal consumption doubled inflation dropped 400 per cent around 30 per cent savings risen adds figures may bit rough ready evidence well stocked markets busy fields bustling streets new cafes backs president claim sharply rising living standards decades hunger poverty state contemporary albania far cry desperate days 1990 feared sigurimi secret police believed encouraged orgy looting destruction thousands would refugees invaded embassies clambered ships leaving country critics mr berisha government closely controls accuse gathering much power hands building new security force replace sigurimi also accused mounting political trials leaders former regime critics cite case mr fatos nano former prime minister probably competent politician opposition socialist party serving nine year sentence charges embezzlement italian aid funds greater consensus trials former regime figures mr ramiz alia handpicked successor mr hoxha received nine year jail sentence earlier month eight former senior politicians judged guilty violating laws shooting dead albanian citizens trying flee country like trials certainly following alia trial berisha said two weeks verdict announced 100 people shot killed transition period alone see trials necessary prevent wave revenge sweeping country impressed none old regime leaders trial ever uttered word regret even exclude crimes responsible burying half albania thousands concrete pill boxes consumed sweat resources albanians president added mr berisha moslem mountainous north east country region long history blood feuds intense personal rivalries two years first post communist president albania retains substantial political support tall imposing figure gained experience confidence domestically foreign travels diplomats concerned stability volatile balkan region appreciate see growing understanding need cautious diplomacy domestic political critics however including launched opposition movement split democratic party shortly march 1992 elections criticise see autocratic tendencies desire control aspects government foreign investors frustrated delays corruption still largely inherited administration tend seek audience presidential palace need cut bureaucratic knots mr berisha rejects charges runs essentially authoritarian system seeking establish presidential republic one man system 50 years need time promote develop parliamentary tradition says blaming opposition parties delays introducing new constitution copious civil rights protection written navigating successfully treacherous shoals balkan foreign politics important new democracy defusing internal tensions almost many ethnic albanians living neighbouring kosovo macedonia montenegro within borders albania many albanians torn desire support kith kin growing awareness borders cannot changed without war realisation heightened war bosnia pro consular advice western embassies president dismisses accusations albania seeking create greater albania similar efforts serbia slobodan milosevic create greater serbia albanias concept clear seeking democratic space albanians wherever means democratic institutions elections solution cannot achieved forcibly changing borders better trade economic co operation could big element improving relations says president recently returned successful visit macedonia president kiro gligorov discussed improved rail road links help macedonia overcome embargo imposed greece southern borders months bad tempered exchanges greece border incident two albanian soldiers killed april president berisha looking forward closer relations europe progress country desired eu association agreement germany rather greece occupies eu presidential chair albanians growing self confidence sense responsibility know future lies europe european style laws democracy dynamic market economy concludes
FT943-13152	ft 21 jul 94 survey albania 1 secret country opens doors collapse europe repressive stalinist regime anthony robinson laura silber examine albania first steps freedom anthony robinson laura silber 50 lost years one isolated countries world albania emerged last three years strong desire rebuild economy shattered society like post communist states also seeks integrate europe playing active role volatile balkan region millions ethnic albanian live across border kosovo macedonia montenegro much progress made since 1990 91 small mainly mountainous country 3 2m people verge anarchy hated secret police dying communist regime installed enver hoxha 1945 sought vainly forestall collapse wild rumours swept country thousands desperate young people clambered ancient boats slipped across frontiers mountain tracks seek new life wider world known listening forbidden foreign radio tv programmes italy across adriatic fearful incipient civil war destabilising waves immigrants hastily put together emergency relief programme 18 months italian army delivered food aid throughout country whose invasion mussolini troops 1939 marked one least glorious chapters italo albanian relations great success exodus halted 300 000 people mainly young work seekers found form refuge employment abroad three years later emigrants become mainstay economy kept afloat cocktail remittances foreign aid emigrant remittances totalled dollars 330m last year compared dollars 300m received foreign aid although albania would dire straits without nearly dollars 1 5bn food aid grants low interest loans governments international institutions poured last three years pledged continue rate around dollars 300m annually 1996 stability started return general elections march 1992 western governments eu phare programme international financial institutions moved technical assistance financial support president sali berisha democratic party led coalition government coalition emerged elections absolute majority programme completing free market reforms begun interim government aegis economists mr gramoz pashko mr genc ruli government army secret police purged inherited administrative organs remain ill equipped provide services demanded modern state democratic credentials albania meanwhile fully recognised new constitution new civil legal codes introduced replace amended versions old hoxha era documents still force three expected finalised year although constitution requires two thirds majority parliament currently eludes government led prime minister alexander meksi albania achieved independence turkey third balkan war 1912 real democratic tradition 50 year totalitarian dictatorship established enver hoxha destroyed economic social basis would normally given rise middle class circumstances politics tend highly personalised institutional legal guarantees weak often unenforceable strengthening social economic legal underpinnings albania fledgling democracy take time imposes steep learning curve government parties opposition latter headed socialist party successor communists whose capable leader mr fatos nano jail albanians president constantly repeat changing mentality people hardest task seem aware democracy stability best guaranteed sustained economic growth avoidance conflict status ethnic albanians neighbouring former yugoslav states tension greece status ethnic greeks southern part albania western embassies particular stress albania continuing access western credits investment reflect strategic importance require tirana play constructive cautious role support regional stability riding imperative us eu governments prevent conflict two regional nato states greece turkey albanian politicians help calling albanian diaspora show patience moderation especially kosovo macedonia ethnic greek well albanian minorities bulgaria greece turkey competing historical claims diverting albanian energies economic reconstruction acquisition modest wealth seen western embassies institutions key national regional stability progress date encouraging first economic reforms dictated necessity large heavily polluting loss making factories built obsolete technology soviet later chinese technicians 1960s 1970s closed hated collective state farms abolished first unemployment soared urban areas country districts 65 per cent population live collective farm buildings looted machinery broken trees cut fuel unemployment still officially around 30 per cent non farm workforce poverty although hunger remains widespread abolition may 1992 unemployment pay 80 per cent previous salary introduced last communist regime ease pain plant closures forced jobless find new employment thanks mainly emigrant remittances abolition restrictions foreign exchange dealing foreign trade thousands rapidly found employment fast growing private trading sector service sector whole provided 12 per cent employment old regime heavy bias towards heavy industry collectivised agriculture expanding fast deregulation privatisation abolition subsidies combined emigrant remittances create fast rising disposal incomes highly visible result frenetic demand sorts consumer imports luxury foods televisions satellite dishes second hand cars demand led economy created new jobs retailing storage transport services time de collectivisation created 400 000 new peasant farmers able feed freed onerous restrictions decades prevented private citizens even raising chickens livestock last year food output rose least 15 per cent food imports plummeted 50 per cent macro economic stabilisation achieved 1993 policy makers moving ahead tackle structural deficiencies must removed state whole modernised albania resources fully used resources substantial albania boasts third largest deposits chromium world south africa kazakhstan related deposits copper non ferrous metals mines operated decades prison labour currently moribund country also extensive onshore offshore oil gas deposits although former badly exploited ancient technology half century latter yet proven commercial quantities canadian occidental agip italy premier oil uk among foreign oil companies currently searching viable deposits decades enforced isolation left albania 320 kms virgin coastline suitable development high quality tourism wealth hardly visited greek roman byzantine archeological sites museum cities gjirokastro exploiting resources profitable ecologically satisfactory way require heavy investment many years specific projects associated infrastructure required underpin modern market oriented economy albanians setting sights end century
FT943-13153	ft 21 jul 94 international capital markets cbot liffe consider linking hours trade derivatives tracy corrigan pattern alliances world futures exchanges shifted yesterday chicago board trade london international financial futures options exchange largest third largest exchanges said would explore feasibility linking hours electronic trading systems two exchanges known looking ways join forces turned backs globex electronic trading system developed reuters although globex achieved disappointing volume relying mainly hours trading matif french futures exchange command impressive grouping bond contracts since liffe decided join system mainly concerns restrictions commercial links cbot one original backers project pulled earlier year globex attracted germany deutsche terminborse join matif chicago mercantile exchange matif dtb agreed link day time trading cbot agreement principle bloomberg would give users bloomberg terminals access products growing number strategic alliances futures exchanges raised stakes liffe cbot number failed efforts behind technical feasibility still explored involves linking two hours systems liffe apt cbot project certain similarities open workstation based systems important differences users would trained systems could accessed workstation different windows apt system replicates trading futures pits project trade matching system optimistic done said mr phil bruce director strategic business development liffe hopes technical study concluded end year live system would implemented 1995 unlike globex agreement would allow exchange retain complete control contracts according cbot clearing would provided board trade clearing corporation cbot contracts london clearing house liffe products liffe cbot link globex part trend potential rivalry two systems exaggerated part trade different products direct competition would business bund futures perhaps short term german interest rate futures listed dtb liffe nevertheless move good news globex left smaller array products might hoped market cynical scope global trading
FT943-13154	ft 21 jul 94 government bonds us treasuries nosedive greenspan testimony frank mcgurty conner middelmann us bond prices tumbled yesterday federal reserve chairman told senate committee tightening monetary policy still open question late session benchmark 30 year government bond 27 32 lower 84 13 16 yield rising 7 54 per cent short end two year note 3 16 99 23 32 yield 5 998 per cent early activity bond prices showed modest declines traders adjusted positions ahead congressional testimony mr alan greenspan fed chief initial erosion came several strong sessions market anticipated signal central banker early move higher interest rates unnecessary view cooling economy instead mr greenspan non committal bonds went tailspin result biannual humphrey hawkins briefing said uncertain whether four increases short term rates sanctioned fed far year sufficient dispel inflationary pressures economy central banker comments left doubt minds bond traders fed may move tighter monetary policy run next meeting policy making arm august 16 prospect overwhelmed smattering favourable economic data released earlier morning commerce department said housing starts last month dropped 9 8 per cent building permits fallen 3 0 per cent welcome drop commodity prices help development overshadowed fresh decline value dollar leading currencies european government bonds ended volatile session lower across board traders said correction would test durability recent rally seen 10 year bund yields move 50 basis points two weeks weve quite powerful move surprised see bit profit taking said franfurt bund dealer expected retracement continue short term expect prices return recent lows traders said largely technical correction could represent important test bond markets investors use cheaper levels put cash work participated early stages rally comfortable holding positions asked mr stephen dulake international bond strategist paine webber german bonds underperformed many neighbours fell half point long end dm7 7bn new 10 year government bonds weighing prices although yesterday dm4 7bn auction second tranche new 6 75 per cent bund issue deemed success traders said went bank books rather firm retail hands bundesbank repo rate fell another three basis points 4 88 per cent expected giving away little ahead today bundesbank council meeting market participants said expected central bank leave key lending rates unchanged french bonds tracked bunds lower dealers took profits recent days sharp gains french treasury today auction ffr19bn ffr21bn new two five year btans according one dealer possibility another 10 basis point cut bank france intervention rate could underpin auction weakness markets put pressure uk gilts triggering stop loss selling futures market dealers said activity took place futures pits report strong selling cash investors anything many investors would like see market work way bit lower buy cheaply next week auction dealer said london international financial futures options exchange liffe begin trading long gilt futures options contracts half hour earlier starting august 1 futures contract open 0700 gmt options contract 0702 gmt line cash market
FT943-13155	ft 21 jul 94 international bonds lukewarm reception us bank dollars 1bn offering graham bowley antonia sharpe federal home loan bank fhlb failed set international bond market alight yesterday launch anticipated inaugural dollars 1bn offering global bonds indicated price range two year bonds 9 11 basis points five year treasuries line market expectations syndicate managers said although fhlb worked hard raise profile investors outside us demand europe asia muted expected bonds flow back us however joint lead managers lehman brothers morgan stanley said placement evenly split regions bonds likely priced afternoon yield 10 basis points treasuries yesterday sudden sell us bond market expected hamper deal indeed potential coupon close 6 1 8 per cent result weakness likely attract buyers fhlb deal way calendar new eurobond issues looking thin though european community expected invite bids seven year ecu300m issue early next week syndicate managers welcomed slowdown new issues business would give market time digest recent flood supply among yesterday offerings general electric capital followed hard british telecom heels raising pounds 100m offering five year eurobonds taking advantage improved conditions sterling bond market greater demand european investors bonds priced yield 20 basis points 6 per cent uk government bond gilt due 1999 dulled appeal institutions somewhat indeed syndicate managers said compared gilt comparable maturity spread bonds closer 14 basis points however european retail investors strong buyers funds raised swapped floating rate sterling nestle holdings followed success dollars 200m eurobond issue june increased three year offering dollars 100m yesterday lead manager cs first boston said bonds aimed mainly swiss retail investors new tranche priced yield 5 basis points yield 6 1 2 per cent treasury due 1997 given nestle high standing among investors spread expected tighten eventually trade treasuries late yesterday spread unchanged
FT943-13156	ft 21 jul 94 international company news sabic extends recovery 57 half year rise mark nicholson saudi arabian basic industries corporation 70 per cent state owned industrial petrochemicals group reported 57 per cent rise earnings first half sr1 35bn dollars 360m consolidating strong turnround profits began last quarter 1993 sabic attributed growth combination improved world prices products include petrochemicals plastics fertilisers steel substantial rise gross output new projects came stream total second quarter revenues sr6 28bn sr4 88bn corresponding quarter last year according mr ibrahim ibn salameh sabic vice chairman managing director group gross output first six months reached 7 95m tonnes rise 36 per cent 1993 sabic said output target reach total capacity 20m tonnes year end 1994 sabic well ambitious expansion scheme estimated cost end year dollars 4bn seen expansion 12 holding company 18 subsidiaries affiliates first half turnround follows growth 10 per cent earnings last quarter 1993 following falls earnings 1991 1992 largely attributed soft world petrochemical prices sabic total assets 6 per cent sr37 5bn claims command 5 per cent global petrochemical markets
FT943-13157	ft 21 jul 94 international company news posco move thwart hyundai john burton pohang iron steel south korea dominant steel company yesterday announced plans expand production capacity attempt block hyundai group entering steel sector increase posco annual production capacity 5 9m tonnes 28m tonnes would cover predicted shortfall steel supplies next decade deprive hyundai justification starting production cold rolled coils expansion posco facilities would completed 1999 cost won15 000bn dollars 18bn hyundai week announced long term plans build year 2001 cost won7 700bn steel facilities produce 9 3m tonnes year government state owned posco oppose move saying hyundai facilities would result glut steel supplies however hyundai believes south korea face significant shortage steel next decade posco fears hyundai steel production would cause price war
FT943-13158	ft 21 jul 94 international company news alcan sells stake australian unit robert gibbens bruce jacques alcan aluminium canada sold 73 3 per cent shareholding alcan australia via international secondary offering worth usdollars 245m alcan already said planned dispose controlling stake cs first boston investment bankers underwriter issue placed alcan australia shares institutional investors australia europe north america asia placement totalled 130 8m shares adollars 2 55 usdollars 1 87 share meanwhile alcan australia yesterday announced return black june half year spite major production cuts affecting worldwide aluminium industry company turned adollars 2 9m loss adollars 9 4m net profit period marginal increase sales revenue adollars 301 9m adollars 307 5m result followed total tax provision adollars 7 5m compared adollars 8 4m previously interest expense adollars 5 4m compared adollars 6 6m
FT943-13159	ft 21 jul 94 international company news strong sales growth microsoft louise kehoe microsoft world largest computer software company announced strong growth sales earnings fourth fiscal quarter results boosted surge sales personal computer operating systems programs revenues quarter dollars 1 29bn 24 per cent dollars 1 04bn period 1993 net income dollars 362m 59 cents share restated reflect company two one stock split may compared dollars 265m 43 cents income includes dollars 30m reversal part third quarter dollars 120m charge relating los angeles court order microsoft pay damages stac electronics patent infringement last month microsoft reached settlement agreement stac net income fourth quarter would dollars 342m 56 cents without gain year revenues dollars 4 65bn 24 per cent dollars 3 75bn fiscal 1993 net income rose 20 per cent dollars 1 15bn dollars 953m earnings per share dollars 1 88 compared dollars 1 57 last year stock split excluding litigation charge settlement net income year dollars 1 21bn dollars 1 98 weve completed 19th consecutive year revenue earnings growth said mike brown vice president finance microsoft sales operating systems programs pc manufacturers reached time high 61 per cent preceding 12 months sales windows widely used pc operating system particularly strong saturday microsoft settled anti trust complaints reaching agreement us justice department european competition authorities modify terms sells operating system licences pc makers said settlement would material impact earnings
FT943-13160	ft 21 jul 94 international company news alcan aluminium canada sells stake australian unit robert gibbens bruce jacques alcan aluminium canada sold 73 3 per cent holding alcan australia via international secondary offering worth usdollars 245m alcan already said planned dispose controlling stake cs first boston investment bankers underwriter issue placed alcan australia shares institutional investors australia europe north america asia placement totalled 130 8m shares adollars 2 55 usdollars 1 87 share alcan australia employs 2 400 seven plants distribution centres australia new zealand smallest australia integrated producers sales one third rivals alcoa australia comalco alcan australia primary capacity 155 000 tonnes per year new south wales smelter 400 000 tonnes competitors alcan australia larger proportion business downstream activities represents 9 per cent alcan aluminium total world primary metal capacity alcan aluminium retains bauxite mining interests australia 21 4 per cent stake queensland alumina continue supply alumina technology independent alcan australia market latter primary metal asia also alcan australia market alcan products australia new zealand using alcan name end 1995 26 7 per cent alcan australia canadian control held various australian institutions meanwhile alcan australia yesterday announced return black june half despite major production cuts affecting worldwide aluminium industry company turned adollars 2 9m loss adollars 9 4m net profit period marginal increase sales revenue adollars 301 9m adollars 307 5m directors said profit still modest company would pay interim dividend earnings improvement came despite 10 per cent cut primary aluminium output beginning year following agreement among world major aluminium producers reduce oversupply result followed total tax provision adollars 7 5m compared adollars 8 4m previously interest expense adollars 5 4m compared adollars 6 6m
FT943-13161	ft 21 jul 94 international company news cheung kong plans china spin listing louise lucas cheung kong flagship mr li ka shing listed hong kong empire spin china interests include property hotel infrastructure projects separate listing within next three half years finance china interests recently brought together umbrella cheung kong holdings china cheung kong plans issue usdollars 300m worth five year exchangeable floating rate notes notes pay 50 basis points three month us dollar london interbank offered rate may redeemed shares cheung kong holdings china initial public offer takes place assured allotment basis cash holders notes may convert shares within one year ipo notes become similar convertible note initial conversion premium 10 per cent investors also offered put option three years first anniversary enabling redeem notes principal amount plus accrued interest cheung kong holdings china projects include 11 property developments five government supported housing schemes two hotels beijing guangzhou
FT943-13162	ft 21 jul 94 international company news gengold posts 16 9 decline mark suzman south african gold producer gengold posted 16 9 per cent decline tax profit june quarter r9 8m dollars 2 6m r11 8m previous three months drop largely due lower productivity higher tax rate counteracted effects improved gold price widespread election related labour unrest across group mines combined large number public holidays quarter led 4 per cent drop tons milled 2 602 2 711 turn caused overall gold production drop 3 9 per cent 1 694kg 1 763kg previous quarter well 1 839kg mined june quarter last year time overall taxation rose 30 6 per cent r66 34m r50 81m payment r25 39m cover one 5 per cent transitional levy announced june budget help cover cost election dented bottom line mr gary maude managing director admitted labour unrest significant problem continuing said expected current wave subside gradually mr maude also noted group unwound forward hedging exception small amount outstanding marginal stilfontein mine poised take full advantage improved spot gold price next quarter group big mines beatrix least affected labour problems able use stockpiles increase overall production slightly 3 224kg 3 220 march however production kinross dropped 3 030kg 2 850kg buffelsfontein fell 2 852 3 080kg labour problems costs transitional levy also hit gold mines anglovaal group overall tax profit june quarter fell r45m r70m total cost levy r20 3m combination lower grade achieved lower tonnage milled led hartebeestfontein group flagship mine record drop tax profit r40 2m r62 6m march gold production dipped 6 550kg 6 965kg
FT943-13163	ft 21 jul 94 international company news japan brokers face shake chief warns gerard baker continued sluggish trading japan equity markets likely force reorganisation japan brokerage industry industry official said yesterday mr sadakane doi chairman japan securities dealers association told press conference brokers including big four nomura yamaichi daiwa nikko facing extremely severe conditions approached halfway point fiscal year end september think could prompt mergers acquisitions among industry members said mr doi also expressed concern entry securities market subsidiaries banks development allowed programme financial deregulation
FT943-13164	ft 21 jul 94 international company news cummins ahead forecasts growth martin dickson cummins engine us diesel engine manufacturer yesterday announced 37 per cent increase second quarter net earnings helped strong demand us signs economies recovering group reported earnings dollars 66 2m dollars 1 58 share compared dollars 48 2m dollars 1 32 period last year sales rose 10 per cent dollars 1 2bn sales heavy duty truck market totalled dollars 354m dollars 336m year ago sales power generation dollars 268m dollars 237m company said reflected strong demand industrial generator sets mr jim henderson chief executive said company expected third quarter earnings would substantially exceed period 1993 six months cummins earned dollars 120 8m dollars 2 94 share compared dollars 89 3m dollars 2 44 share 1993
FT943-13165	ft 21 jul 94 international company news american airlines dissatisfied rise richard tomkins amr parent company american airlines second biggest us carrier reported net profits dollars 153m second quarter dollars 47m last time however company said far satisfactory latest figure included favourable adjustment dollars 22m relating change cost redeeming frequent flier points previous year net profit would dollars 59m without adjustments unusual items amr comprises three divisions air transportation sabre information technology businesses management services biggest profit improvement came air transportation contributed dollars 149m tax compared pre tax loss dollars 6m last time sabre increased pre tax contribution dollars 95m dollars 80m management services reduced pre tax contribution dollars 4m dollars 5m amr turnround loss dollars 7m first quarter expected airlines make money summer winter airline also helped reducing capacity unprofitable routes shrinkage resulted 7 8 per cent decline number available seat miles flown group revenues also fell 2 6 per cent dollars 4 1bn passenger load factor percentage seats filled passengers rose 64 4 per cent 61 5 per cent earnings per share rose dollars 1 68 39 cents fully diluted net income first six months rose dollars 146m dollars 25m
FT943-13166	ft 21 jul 94 international company news westland share sale helps united tech martin dickson united technologies diversified us technology group yesterday reported 32 per cent increase net income second quarter helped higher operating profits divisions dollars 87m pre tax gain sale interest westland uk aerospace business utc made profits dollars 172m dollars 1 18 share compared dollars 130m 89 cents period last year revenues totalled dollars 5 49bn compared dollars 5 57bn company took pre tax charge dollars 50m pratt whitney aero engine unit one dollars 35m hamilton standard aerospace business pratt reported operating income dollars 103m charge compared dollars 22m period last year revenues dipped dollars 1 48bn dollars 1 77bn improved profits attributed higher commercial spare parts sales reduced research development spending sale participation interests pw4000 engine programme flight systems segment includes sikorsky helicopter unit operating income dollars 47m dollars 80m last year six months utc made dollars 278m dollars 1 98 share compared dollars 194m dollars 1 38 1993
FT943-13167	ft 21 jul 94 international company news mcdonnell douglas falls dollars 138m richard tomkins mcdonnell douglas us defence aerospace group reported fall net earnings dollars 138m dollars 170m second quarter however figure represented 22 per increase dollars 113m unusual items stripped previous year figure improvement achieved spite downturn revenues caused poor demand commercial aircraft reduced activity missiles space electronic systems segment group turnover fell 15 per cent dollars 3 25bn cutting costs mcdonnell douglas able increase operating profits dollars 259m dollars 234m last year excluding unusual items earnings per share dollars 3 50 compared dollars 4 33 last time dollars 2 87 without unusual items profitable segment military aircraft saw 11 per cent increase revenues operating profits rose dollars 153m dollars 118m commercial aircraft revenues fell 40 per cent due declining demand company delivered eight md 80 twin jets four md 11 tri jets second quarter 13 md 80s 10 md 11s period last year however division lifted operating profits dollars 24m dollars 12m missiles space electronic systems segment saw 33 per cent decline revenues company reduced role space station programme winding advanced cruise missile programme operating profits fell dollars 80m dollars 99m cashflow aerospace operations remained strong allowing company cut debt dollars 300m first six months dollars 1 3bn june 30 net income first six months dollars 272m compared dollars 207m unusual items dollars 386m
FT943-13168	ft 21 jul 94 international company news pfizer warns profits may match analysts hopes prescription sales boost results us drugs groups richard waters warning pfizer year profits would fail match many analysts estimates clouded otherwise moderately positive set second quarter figures yesterday leading us drugs groups companies reporting yesterday showed double digit gains sales prescription drugs us overseas sales growth generally lower due regulation prices europe weaker dollar us gains mainly stemmed new products reflected higher volumes prices remaining pressure mr henry mckinnell pfizer chief financial officer warned company earnings per share 1994 would come toward bottom range market expecta tions stand dollars 4 10 dollars 4 25 warning follows issue new patent us bayer german pharmaceuticals group require pfizer pay higher royalties biggest selling product cardiovascular drug procardia xl pfizer said effect reduce pre tax profits dollars 18m second quarter full year cost put dollars 36m figures represent company expected higher royalty payments bayer offset partly lower royalties pay us partner alza drug sales procardia xl also dropped 9 per cent quarter year though company blamed mainly short term inventory adjustments wholesalers despite sales period 10 per cent higher year driven 16 per cent increase us pharmaceuticals sales growth driven range new products sales four zoloft zithromax norvasc cardura growing aggregate 59 per cent account third total drug sales period merck us biggest drugs group recorded 10 per cent growth sales human animal health products year adding sales medco containment services drugs distributor acquired last year sales growth 18 per cent company tax profits grew slower rate 10 per cent though due lower margins medco business compared merck traditional operations mr raymond gilmartin recently took merck chief executive become chairman november said company seen strong unit volume gains period sales mevacor cholesterol lowering agent fell competition rival products along group longer established products countered volume gains range newer drugs company said bristol myers squibb sales growth quarter driven 12 per cent increase drugs sales capoten largest selling product advancing 7 per cent despite increasing competition consumer product sales meanwhile grew 1 per cent nutritional product revenues fell 1 per cent company also warned could face additional charge profits stemming breast implant claims charge could arise due number women opted global industry wide settlement reached march requiring company settle claims individually bristol myers said yet know claims would added could material impact company results year bristol myers like drugs groups manufacturing operations puerto rico also reported higher tax charge due phasing tax allowances us pushed effective income tax rate nearly 30 per cent 26 per cent year said 26 per cent increase us drugs sales dollars 541m main factor behind sales growth 10 6 per cent johnson johnson second quarter total drugs sales grew 17 per cent dollars 1 31bn sales consumer products rose 7 per cent dollars 1 27bn professional products increased 8 per cent dollars 1 34bn us pharmaceuticals sales growth led two new products risperdal treatment schizophrenia propulsid gastro intestinal drug said mr ralph larsen chairman chief executive schering plough also benefitted stronger us prescription drugs sales revenues claritin antihistamine topping quarterly sales dollars 100m first time
